"COMPARTIMENTO","ALIAS_STAZIONE","ALIAS_BACINO","TIPO_GRANDEZZA","GRANDEZZA","VERSION"
"BA","ADELFIA (CANNETO)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ALBERONA","CANDELARO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ALESSANO","PENISOLA SALENTINA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ALIMINI (BONIFICA)","PENISOLA SALENTINA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ALTAMURA","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ANDRETTA","OFANTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ANDRIA","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","AQUILONIA","OFANTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ASCOLI SATRIANO","CERVARO - CARAPELLE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","ATELLA","OFANTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","AVETRANA","PENISOLA SALENTINA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","AVETRANA (P)","PENISOLA SALENTINA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARI (FACOLTA' DI INGEGNERIA)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARI (IDROGRAFICO)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARI (OSSERVATORIO)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARI (SEMAFORO)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARI (STAZIONE AGRARIA SPERIMENTALE)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARI (TORRE A MARE)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARI (VILLA SYLOS)","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BARLETTA","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BICCARI","CANDELARO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BISACCIA","CERVARO - CARAPELLE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BISCEGLIE","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BITONTO","MURGE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BORGO LIBERTA' (GIA' MASSERIA TORRE ALEMANNO)","OFANTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BOSCO UMBRA","BACINI VARI","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BOVINO","CERVARO - CARAPELLE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BRINDISI (GIA' BRINDISI - SEMAFORO)","PENISOLA SALENTINA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","BRINDISI (SEMAFORO)","PENISOLA SALENTINA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","CAGNANO VARANO","LAGO DI VARANO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BA","CALIMERA","PENISOLA SALENTINA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
