"Compartimento","ALIAS_STAZIONE","ALIAS_BACINO","X_LONG","Y_LAT","Z_MSLM"
"BA","PRESICCE","PENISOLA SALENTINA","18,267694","39,897556",114.00
"BA","QUASANI (O QUASANO)","MURGE","16,569444","40,966667",369.00
"BA","RIGNANO GARGANICO (SCALO)","CANDELARO","15,490075","41,579076",46.00
"BA","RIPACANDIDA","OFANTO","15,736611","40,917111",620.00
"BA","ROCCHETTA SANT'ANTONIO","CERVARO - CARAPELLE","15,466333","41,106028",630.00
"BA","ROCCHETTA SANT'ANTONIO (SCALO)","OFANTO","15,550083","41,079806",220.00
"BA","RUFFANO","PENISOLA SALENTINA","18,247667","39,983583",125.00
"BA","RUTIGLIANO","MURGE","17,002778","41,016667",125.00
"BA","RUVO DI PUGLIA","MURGE","16,483544","41,113644",260.00
"BA","SAN CATALDO (BONIFICA)","PENISOLA SALENTINA","18,282423","40,392177",3.00
"BA","SAN FELE","OFANTO","15,541083","40,820722",862.00
"BA","SAN GIORGIO IONICO","PENISOLA SALENTINA","17,251167","40,465333",68.00
"BA","SAN GIORGIO IONICO (BARONIA)","PENISOLA SALENTINA","17,358688","40,454911",26.00
"BA","SAN GIORGIO IONICO (MASSERIA MONACELLE)","PENISOLA SALENTINA","17,33088","40,44925",20.00
"BA","SAN GIOVANNI ROTONDO","LAGO SALSO - LAGO SALPI - PALUDI DI CELENTANO","15,708761","41,706669",557.00
"BA","SAN GIOVANNI ROTONDO (SCALO)","LAGO SALSO - LAGO SALPI - PALUDI DI CELENTANO","15,732511","41,5182",39.00
"BA","SAN MARCO IN LAMIS","CANDELARO","15,636944","41,711194",560.00
"BA","SAN NICANDRO GARGANICO","LAGO DI LESINA","15,562478","41,837117",224.00
"BA","SAN PANCRAZIO SALENTINO","PENISOLA SALENTINA","17,839831","40,418539",62.00
"BA","SAN PIETRO IN BEVAGNA","PENISOLA SALENTINA","17,688804","40,30877",33.00
"BA","SAN PIETRO VERNOTICO","PENISOLA SALENTINA","18,002194","40,481611",36.00
"BA","SAN SEVERO","CANDELARO","15,383836","41,692806",87.00
"BA","SAN VITO DEI NORMANNI","PENISOLA SALENTINA","17,705861","40,656611",110.00
"BA","SANTA MARIA DI LEUCA","PENISOLA SALENTINA","18,351361","39,797444",65.00
"BA","SANTA MARIA DI LEUCA (SEMAFORO)","PENISOLA SALENTINA","18,368702","39,795883",104.00
"BA","SANT'AGATA DI PUGLIA","CERVARO - CARAPELLE","15,382083","41,15025",791.00
"BA","SANT'ANDREA DI CONZA","OFANTO","15,369444","40,85",694.00
"BA","SANT'ANGELO DEI LOMBARDI","OFANTO","15,180889","40,931694",870.00
"BA","SANTERAMO IN COLLE","MURGE","16,761694","40,793139",503.00
"BA","SAVA","PENISOLA SALENTINA","17,552778","40,4",107.00
"BA","SAVIGNANO IRPINO (GIA' SAVIGNANO DI PUGLIA)","CERVARO - CARAPELLE","15,18475","41,222194",718.00
"BA","SPINAZZOLA","OFANTO","16,097806","40,962556",438.00
"BA","STORNARA","LAGO SALSO - LAGO SALPI - PALUDI DI CELENTANO","15,769444","41,283333",107.00
"BA","TARANTO (BORGO)","PENISOLA SALENTINA","16,084011","41,075028",15.00
"BA","TARANTO (OSSERVATORIO, GIA' BORGO)","PENISOLA SALENTINA","16,084011","41,075028",15.00
"BA","TARANTO (TALSANO)","PENISOLA SALENTINA","17,2735","40,411222",15.00
"BA","TAVIANO","PENISOLA SALENTINA","18,0895","39,982778",61.00
"BA","TEORA","OFANTO","15,243361","40,846528",660.00
"BA","TERTIVERI","CANDELARO","15,206806","41,433833",352.00
"BA","TORRE SAN GIOVANNI","PENISOLA SALENTINA","18,112304","39,895545",1.50
"BA","TORREMAGGIORE","CANDELARO","15,292889","41,690417",169.00
"BA","TROIA","CANDELARO","15,310417","41,362472",439.00
"BA","TURI","MURGE","17,022","40,918306",250.00
"BA","UGENTO","PENISOLA SALENTINA","18,146255","39,932015",108.00
"BA","VENOSA","OFANTO","15,799528","40,958444",415.00
"BA","VICO GARGANICO","BACINI VARI","15,959083","41,892222",450.00
"BA","VIESTE","BACINI VARI","16,175214","41,879956",25.00
"BA","VIESTE (SEMAFORO)","BACINI VARI","16,18425","41,889194",50.00
"BA","VIGLIONE","MURGE","16,73349","40,711131",376.00
"BA","VIGNACASTRISI","PENISOLA SALENTINA","18,4095","40,012833",94.00
"BA","VOLTURINO","CANDELARO","15,128278","41,47825",735.00
"BA","ZAPPONETA","LAGO SALSO - LAGO SALPI - PALUDI DI CELENTANO","15,929456","41,471042",0.50
"BA","ADELFIA (CANNETO)","MURGE","16,8674","41,0013",151.00
"BA","ALBERONA","CANDELARO","15,1242","41,4319",700.00
"BA","ALESSANO","PENISOLA SALENTINA","18,328583","39,884806",140.00
"BA","ALESSANO","PENISOLA SALENTINA","18,328583","39,884806",140.00
"BA","ALIMINI (BONIFICA)","PENISOLA SALENTINA","18,453036","40,183333",10.00
"BA","ALTAMURA","MURGE","16,553444","40,823139",461.00
"BA","ANDRETTA","OFANTO","15,3334","40,9293",850.00
"BA","ANDRIA","MURGE","16,295","41,2215",151.00
"BA","AQUILONIA","OFANTO","15,486369","41",750.00
"BA","ASCOLI SATRIANO","CERVARO - CARAPELLE","15,564572","41,201211",410.00
"BA","ATELLA","OFANTO","15,6532","40,8737",500.00
"BA","AVETRANA","PENISOLA SALENTINA","17,728056","40,344806",62.00
"BA","AVETRANA (P)","PENISOLA SALENTINA","17,728056","40,344806",62.00
"BA","BARI (FACOLTA' DI INGEGNERIA)","MURGE","16,878694","41,107472",12.00
"BA","BARI (IDROGRAFICO)","MURGE","16,882003","41,119819",12.00
"BA","BARI (OSSERVATORIO)","MURGE","16,87261","41,11825",12.00
"BA","BARI (SEMAFORO)","MURGE","16,866389","41,128333",12.00
"BA","BARI (STAZIONE AGRARIA SPERIMENTALE)","MURGE","16,87812","41,11002",12.00
"BA","BARI (TORRE A MARE)","MURGE","16,99785","41,08463",27.00
"BA","BARI (VILLA SYLOS)","MURGE","16,749341","41,159484",12.00
"BA","BARLETTA","MURGE","16,274758","41,313394",30.00
"BA","BICCARI","CANDELARO","15,1908","41,393",449.00
"BA","BISACCIA","CERVARO - CARAPELLE","15,38036","41,00802",820.00
"BA","BISCEGLIE","MURGE","16,49755","41,23916",16.00
"BA","BITONTO","MURGE","16,69491","41,1101",118.00
"BA","BORGO LIBERTA' (GIA' MASSERIA TORRE ALEMANNO)","OFANTO","15,715722","41,189889",251.00
"BA","BOSCO UMBRA","BACINI VARI","15,9918","41,82025",750.00
"BA","BOVINO","CERVARO - CARAPELLE","15,3383","41,246",646.00
"BA","BRINDISI (GIA' BRINDISI - SEMAFORO)","PENISOLA SALENTINA","17,937486","40,629381",28.00
"BA","BRINDISI (SEMAFORO)","PENISOLA SALENTINA","17,990694","40,657694",28.00
"BA","CAGNANO VARANO","LAGO DI VARANO","15,77244","41,82916",150.00
"BA","CALIMERA","PENISOLA SALENTINA","18,286369","40,25",56.00
"BA","CALITRI","OFANTO","15,40825","40,93088",525.00
"BA","CANOSA DI PUGLIA","OFANTO","16,062777","41,225028",154.00
"BA","CAPO SAN VITO (SEMAFORO)","PENISOLA SALENTINA","17,203525","40,411763",4.00
"BA","CASAMASSIMA","MURGE","16,917953","40,954008",223.00
"BA","CASELLO REGINA","LAGO SALSO - LAGO SALPI - PALUDI DI CELENTANO","15,913348","41,428668",4.00
"BA","CASSANO MURGE","MURGE","16,770922","40,889722",341.00
"BA","CASTEL DEL MONTE","MURGE","16,273875","41,078503",525.00
"BA","CASTEL LAGOPESOLE","OFANTO","15,736639","40,804056",829.00
"BA","CASTELLANA GROTTE","MURGE","17,166167","40,882472",290.00
"BA","CASTELLANETA","LATO","16,933083","40,629889",245.00
"BA","CASTELLUCCIO DEI SAURI","CERVARO - CARAPELLE","15,477028","41,303667",284.00
"BA","CASTELLUCCIO VALMAGGIORE","CANDELARO","15,200381","41,341994",610.00
"BA","CEGLIE MESSAPICA","MURGE","17,518944","40,646222",303.00
"BA","CERIGNOLA","LAGO SALSO - LAGO SALPI - PALUDI DI CELENTANO","15,905833","41,264444",124.00
"BA","CHIULLI","LATO","16,935584","40,532557",89.00
"BA","COLLEPASSO","PENISOLA SALENTINA","18,168333","40,073556",120.00
