"COMPARTIMENTO","ALIAS_STAZIONE","ALIAS_BACINO","TIPO_GRANDEZZA","GRANDEZZA","VERSION"
"BO","ACCUMOLI","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ACQUADALTO","RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ACQUALAGNA","METAURO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ACQUAPAGANA","CHIENTI","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ACQUASANTA","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ACQUAVIVA PICENA (I CASALI)","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ACQUERINO","RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","AGUGLIANO","ESINO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ALBERETO","CANALE CORSINI","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ALBERINO","RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ALFERO","SAVIO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ALFONSINE","CANALE IN DESTRA DI RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","AMANDOLA","TENNA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","AMATRICE","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ANCARANO","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ANCONA (OSSERVATORIO METEORICO E GEOFISICO)","BACINI MINORI TRA ESINO E MUSONE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ANCONA (TORRETTE)","BACINI MINORI TRA ESINO E MUSONE","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ANZOLA DELL'EMILIA","RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","APIRO","ESINO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","APPENNINO","CHIENTI","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","APPIGNANO","POTENZA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","APPIGNANO DEL TRONTO","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ARCEVIA","MISA","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ARCOVEGGIO","RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ARGELATO","RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ARGENTA","ZONA DI PIANURA TRA PO E RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ARIANO","ZONA DI PIANURA TRA PO E RENO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ARLI","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ARQUATA DEL TRONTO","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ASCOLI PICENO","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
"BO","ASCOLI PICENO (GIA' REGIA SCUOLA AGRARIA)","TRONTO","http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210","PG09","V2025.01"
