"Compartimento","ALIAS_STAZIONE","ALIAS_BACINO","X_LONG","Y_LAT","Z_MSLM"
"BO","ACCUMOLI","TRONTO","13,24611","42,69387",858.00
"BO","ACQUADALTO","RENO","11,53194","44,10717",482.00
"BO","ACQUALAGNA","METAURO","12,67204","43,61671",204.00
"BO","ACQUAPAGANA","CHIENTI","12,93083","42,98497",918.00
"BO","ACQUASANTA","TRONTO","13,41138","42,77108",392.00
"BO","ACQUAVIVA PICENA (I CASALI)","TRONTO","13,80305","42,93497",260.00
"BO","ACQUERINO","RENO","11,01556","44,00943",890.00
"BO","AGUGLIANO","ESINO","13,3864","43,54383",203.00
"BO","ALBERETO","CANALE CORSINI","11,99083","44,32605",17.00
"BO","ALBERINO","RENO","11,64472","44,65577",10.00
"BO","ALFERO","SAVIO","12,05722","43,84718",626.00
"BO","ALFONSINE","CANALE IN DESTRA DI RENO","12,0364","44,5016",7.00
"BO","AMANDOLA","TENNA","13,35271","42,97662",550.00
"BO","AMATRICE","TRONTO","13,29295","42,62865",955.00
"BO","ANCARANO","TRONTO","13,74194","42,83913",293.00
"BO","ANCONA (OSSERVATORIO METEORICO E GEOFISICO)","BACINI MINORI TRA ESINO E MUSONE","13,52689","43,6138",50.00
"BO","ANCONA (TORRETTE)","BACINI MINORI TRA ESINO E MUSONE","13,45446","43,61133",6.00
"BO","ANZOLA DELL'EMILIA","RENO","11,18306","44,57888",40.00
"BO","APIRO","ESINO","13,13302","43,39267",516.00
"BO","APPENNINO","CHIENTI","13,08361","42,97941",798.00
"BO","APPIGNANO","POTENZA","13,34695","43,36467",199.00
"BO","APPIGNANO DEL TRONTO","TRONTO","13,68082","42,90163",180.00
"BO","ARCEVIA","MISA","12,93847","43,49847",535.00
"BO","ARCOVEGGIO","RENO","11,33647","44,5224",43.00
"BO","ARGELATO","RENO","11,3475","44,64328",25.00
"BO","ARGENTA","ZONA DI PIANURA TRA PO E RENO","11,83723","44,61827",4.00
"BO","ARIANO","ZONA DI PIANURA TRA PO E RENO","12,12307","44,94603",0.00
"BO","ARLI","TRONTO","13,45305","42,79831",288.00
"BO","ARQUATA DEL TRONTO","TRONTO","13,29289","42,77685",720.00
"BO","ASCOLI PICENO","TRONTO","13,60305","42,86413",165.00
"BO","ASCOLI PICENO (GIA' REGIA SCUOLA AGRARIA)","TRONTO","13,5981","42,85568",136.00
"BO","ASCOLI PICENO (REGIA SCUOLA AGRARIA)","TRONTO","13,5981","42,85568",136.00
"BO","BADI","RENO","11,02878","44,1198",610.00
